t_s,veh_speed_mps,brake_pressure_psi,wheel_FL_mps,wheel_FR_mps,wheel_RL_mps,wheel_RR_mps,slip_FL,slip_FR,slip_RL,slip_RR
0.0,17.97663757664046,0.0,17.851480819296782,18.09180907915758,18.089079428486162,17.935474355242324,0.0,0.0,0.0,0.0
0.005,17.990535239476593,0.0,18.009817070880526,18.002232332262864,17.836541943550348,17.667849479726012,0.0,0.0,0.0,0.022297122184347148
0.01,17.98763051837287,0.0,17.32749191592189,17.592581286482748,17.89303067161588,17.760595438072432,0.035087815465209816,0.019536845552577817,0.0,0.008699130381513166
0.015,18.00647612905733,0.0,17.948982942031957,17.86919412554635,17.895392085537463,17.448608532786803,0.0,0.0,0.0,0.03099379523741304
0.02,18.012171348780342,0.0,18.01369967181606,18.132047496126432,17.620999071613717,16.901180985571077,0.005927432761120392,0.0,0.025880904338644064,0.0569626579549162
0.025,18.036294543159265,0.0,18.000610958620996,17.79104525847635,17.615823418460344,18.11211757636243,0.0,0.020465655358393824,0.024845960256802378,0.0
0.03,18.02944241864283,8.258159166395002,18.070334435732065,18.167211290389172,17.315863844541063,18.039620273420873,0.0,0.0,0.04101491095869142,0.0
0.035,18.058468044292365,0.0,18.01961830015724,17.917384376570272,17.844563014058977,17.97742900718212,0.0,0.014348878238172219,0.008049220188122406,0.003545397880602938
0.04,18.061616136478584,0.0,17.896090364325534,17.359931171365194,16.870607407203757,17.76248001060312,0.004778738140367975,0.035750449233469525,0.06845787563276791,0.020680221350418405
0.045,18.04498775023797,0.0,18.009010924090685,17.295817566724207,17.99613664714242,18.043412060848734,0.0,0.038255900187483115,0.0,0.0
0.05,18.0524099307815,0.0,18.13876006067766,17.525101437562213,18.00946150286177,18.027546883138275,0.0,0.02291929290784846,0.0,0.0
0.055,18.063553255066516,0.0,17.475704693461683,17.51320886904676,18.0608682035557,18.043465007618455,0.03626582757982911,0.03316008065018816,0.0,0.0
0.06,18.057442616646664,6.326244054835026,17.939940749601437,18.067735000192844,18.10910175457922,18.052831622164838,0.0,0.005733281154283606,0.0,0.0
0.065,18.04746679072289,0.0,18.235335756432256,18.07082715486356,17.86531031288887,17.696627409585407,0.0,0.0,0.01370980909618676,0.016679563122395383
0.07,18.04966646381367,5.977436460991483,17.29618280082339,18.07279955526024,17.94475585759185,18.042734062348188,0.036963133107758554,0.0,0.0,0.0
0.075,18.039718656403146,11.265086322154005,18.002130948579634,17.365523311179146,18.037090211285417,18.203710888669928,0.0016579445228613594,0.03201839560855997,0.0,0.0
0.08,18.028479547809134,8.352755781856262,18.04337677727332,18.03186156058588,18.04143670025362,18.023787048962355,0.001987087388357574,0.0,0.0,0.0
0.085,18.031584533716934,9.367111379912702,17.450055473045943,17.5027561539786,18.054636875692758,17.42093207088749,0.03083978607800244,0.02412234335374271,0.0,0.034393818003641614
0.09,18.03642900187047,8.474780900955412,17.47674427565288,17.824172985242587,17.40349002277804,17.685897957310697,0.02762048685198903,0.0,0.03526043492784767,0.01980848562840923
0.095,18.057227240052153,2.995793337757108,18.084954969768955,17.8583811387631,18.0174992011837,18.04488231716044,0.0,0.010173771990304468,0.0,0.0
0.1,18.068701086416365,0.0,18.15831413573676,17.48940876090659,18.038487074370074,18.030659904727244,0.0,0.036674165531589996,0.0,0.0
0.105,18.089371757665184,0.0,18.09378951019549,18.17047949492611,17.328794871857525,17.879535095490255,0.0,0.0,0.048848612072557515,0.006363836323212213
0.11,18.0857002203915,0.0,17.106845705373647,17.35885393179907,17.108415367529997,17.924388823149776,0.05802047661235626,0.03996185189859322,0.04862781347705266,0.011469061067055086
0.115,18.1074731793325,3.2719018710033927,17.92484888969192,17.368647851298377,17.775865805396585,17.413635076972703,0.008832695490936264,0.05007590551053386,0.016885597775953817,0.03467045986017863
0.12,18.100391751307352,0.0,17.98781957265993,17.633309209693827,17.995207005759124,18.153144347308334,0.0,0.025658129833423308,0.0,0.0
0.125,18.092139430280984,0.0,18.11752786263844,18.13127812244026,17.50204936052825,18.02810239221431,0.0,0.0,0.03827679472595319,0.0
0.13,18.087544502305107,0.3560932750534834,17.534547076359836,18.05331357852437,18.176665316791027,17.78381578824713,0.03175024789814351,0.0,0.0,0.013619203028938508
0.135,18.08755874776282,1.400783157367904,18.051419315233506,17.812880975121153,18.094377177393188,18.071274479846853,0.0,0.006065452024590823,0.0,0.0
0.14,18.07302374956657,0.0,17.48824020185953,18.10466678357535,18.107654827214596,17.906274675965598,0.03248179214489909,0.004094584954035682,0.0,0.013384201969188571
